Key,English,Japanese,Vietnamese
TXT_CONNECT_WITH_METAMASK_BIG,CONNECT WITH METAMASK...,METAMASKとつなが......,Kết nối với METAMASK
TXT_EMAIL_BIG,EMAIL,Eメール,Email
TXT_ENTER_YOUR_EMAIL,Enter your email,メールアドレスを入力してください,Nhập email của bạn
TXT_LOGIN_BIG,LOGIN,ログイン,ĐĂNG NHẬP
TXT_WELCOME_NEW_USERS,_PLEASE_ENTER_YOUR_DISPLAY_NAME_BIG,WELLCOME NEW USERS, PLEASE ENTER YOUR DISPLAY NAME,新しいユーザーへようこそ、あなたの表示名を入力してください,"Chào mừng người dùng mới, vui lòng nhập tên hiển thị của bạn"
TXT_ENTER_YOUR_NICK_NAME,Enter your nick name,あなたのニックネームを入力します,Nhập biệt danh của bạn
TXT_OK_BIG,OK,OK,OK
TXT_JOIN_VOICE_CHAT_BIG,JOIN VOICE CHAT,ボイスチャットに参加,KẾT NỐI VOICE CHAT
TXT_JOIN_SUNLOFT_VOICE_CHAT_BIG,JOIN SUNLOFT VOICE CHAT,SUNLOFT ボイスチャットに参加,KẾT NỐI SUNLOFT VOICE CHAT
TXT_END_CALL_BIG,END CALL,通話終了,KẾT THÚC VOICE CHAT
TXT_MAP,Map,地図,Bản đồ
TXT_#GLOBAL_BIG,#GLOBAL,#グローバル,#TOÀN CẦU
TXT_#NEARBY_BIG,#NEARBY,#近く,#XUNG QUANH
TXT_#COMING_SOON,#COMING SOON,#近日公開,#SẮP RA MẮT
TXT_ENTER_TEXT,Enter text,テキストを入力,Nhập chữ
TXT_SENT_BIG,SENT,送信済,GỬI
TXT_#VOICE_CHAT_BIG,#VOICE CHAT,#ボイスチャット,#VOICE CHAT
TXT_LEAVE_BIG,LEAVE,離れる,RỜI KHỎI
TXT_MUTE_ALL,Mute all,すべてミュート,Tắt tiếng tất cả
TXT_HOST_BIG,HOST,ホスト,CHỦ PHÒNG
TXT_AUDIENCE_BIG,AUDIENCE,観客,KHÁN GIẢ
TXT_STREAMING_BIG,STREAMING,ストリーミング,PHÁT TRỰC TIẾP
TXT_LIVE_SCREEN_BIG,LIVE SCREEN,ライブ画面,MÀN HÌNH PHÁT SÓNG
TXT_PASS_WORD_BIG,PASSWORD,パスワード,MẬT KHẨU
TXT_#LIST_AUDIENCE_BIG,#LIST AUDIENCE,#リストオーディエンス,#DANH SÁCH NGƯỜI XEM
